Título,Autor,Data_Lancamento,Genero,Nota
Dom Quixote,Miguel de Cervantes,1605,Romance,4.8
Guerra e Paz,Leo Tolstoy,1869,Ficção Histórica,4.7
Moby Dick,Herman Melville,1851,Aventura,4.5
Orgulho e Preconceito,Jane Austen,1813,Romance,4.9
O Grande Gatsby,F. Scott Fitzgerald,1925,Romance,4.6
1984,George Orwell,1949,Distopia,4.7
Cem Anos de Solidão,Gabriel García Márquez,1967,Realismo Mágico,4.8
O Senhor dos Anéis,J.R.R. Tolkien,1954,Fantasia,4.9
Ulisses,James Joyce,1922,Modernismo,4.4
O Apanhador no Campo de Centeio,J.D. Salinger,1951,Drama,4.3
Crime e Castigo,Fiódor Dostoiévski,1866,Ficção Psicológica,4.8
As Aventuras de Huckleberry Finn,Mark Twain,1884,Aventura,4.5
A Odisséia,Homero,-800,Épico,4.6
O Sol é Para Todos,Harper Lee,1960,Drama,4.9
Frankenstein,Mary Shelley,1818,Horror,4.4
Drácula,Bram Stoker,1897,Horror,4.5
A Revolução dos Bichos,George Orwell,1945,Satírico,4.7
O Retrato de Dorian Gray,Oscar Wilde,1890,Gótico,4.6
A Metamorfose,Franz Kafka,1915,Ficção Existencial,4.3
O Nome da Rosa,Umberto Eco,1980,Mistério Histórico,4.5
O Código Da Vinci,Dan Brown,2003,Thriller,4.0
As Crônicas de Nárnia,C.S. Lewis,1950,Fantasia,4.8
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,Fantasia,4.9
O Morro dos Ventos Uivantes,Emily Brontë,1847,Romance Gótico,4.6
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,Infantil/Filosófico,4.9
